study name,sub-group,timepoint,Data format,OR,Lower Limit  ,Upper Limit  ,"Event 
delirium group",Delirium group total (N),"Event 
no-delirium group",Non-delirium group total (N),"95% confidence 
interval",Log OR,SE,"Delirium 
mean","Delirium
(SD)","Delirium 
Sample size","No-delirium 
mean","No-delirium
(SD)","No-delirium 
Sample size",Effect direction,"Independent 
group t-value","Independent 
group p-value",difference in means,Lower limit,upper limit,Tail,Hedges's g,Std Err,Variance
Marrama 2022,Dementia,60 month,Cohort 2x2 (Events),0.666666667,,,10,25,36,72,,,,,,,,,,,,,,,,,,,
Marrama 2022,Dementia ,72 month,Cohort 2x2 (Events),0.781065089,,,12,25,39,72,,,,,,,,,,,,,,,,,,,
Marrama 2022,Dementia ,84 month,Cohort 2x2 (Events),0.576241135,,,13,25,47,72,,,,,,,,,,,,,,,,,,,
Marrama 2022,Dementia ,96 month,Cohort 2x2 (Events),0.636363636,,,14,25,48,72,,,,,,,,,,,,,,,,,,,
Nerdal 2022,Dementia,18 month,Cohort 2x2 (Events),5.071428571,,,7,9,49,120,,,,,,,,,,,,,,,,,,,
Nerdal 2022,Dementia,3 month,Cohort 2x2 (Events),12.55172414,,,8,10,29,120,,,,,,,,,,,,,,,,,,,
Nerdal 2022,Dementia,36 month,Cohort 2x2 (Events),10,,,4,6,14,84,,,,,,,,,,,,,,,,,,,
Olofsson 2018,Dementia,12 month,Cohort 2x2 (Events),73.51948052,,,25,63,0,55,,,,,,,,,,,,,,,,,,,
Olofsson 2018,Dementia ,4 month,Cohort 2x2 (Events),18.02564103,,,9,67,0,55,,,,,,,,,,,,,,,,,,,
Rahkonen 2001,Dementia,36 month,Cohort 2x2 (Events),5.369565217,,,13,20,46,179,,,,,,,,,,,,,,,,,,,
Rolandi 2020,Dementia,96 month,Cohort 2x2 (Events),13.24615385,,,7,12,104,1088,,,,,,,,,,,,,,,,,,,
Bellelli 2008,Readmission,12 month,Odds ratio,1.6,1.1,2.4,,,,,,,,,,,,,,,,,,,,,,,
George 1997,Readmission ,12 month,Odds ratio,2.05,1.19,3.54,,,,,,,,,,,,,,,,,,,,,,,
George 1997,Readmission ,6 month,Odds ratio,1.92,1.04,3.66,,,,,,,,,,,,,,,,,,,,,,,
Han 2022,Rehopsitalization,1 month,Odds ratio,1.02,0.59,1.76,,,,,,,,,,,,,,,,,,,,,,,
Hempenius 2016,Readmission,3 month,Odds ratio,0.5,0.14,1.74,,,,,,,,,,,,,,,,,,,,,,,
Moon 2018,Readmission,6 month,Odds ratio,1.31,0.13,13.62,,,,,,,,,,,,,,,,,,,,,,,
Large 2013,Readmission,1 month,Odds ratio,10.7,2.2,51.8,,,,,,,,,,,,,,,,,,,,,,,
Noriega 2015,Readmission,1 month,Odds ratio,3.07,1.04,9.08,,,,,,,,,,,,,,,,,,,,,,,
Noriega 2015,Readmission,12 month,Odds ratio,1.55,0.56,4.26,,,,,,,,,,,,,,,,,,,,,,,
Pendlebury 2015,Readmission,1 month,Odds ratio,0.32,0.09,1.1,,,,,,,,,,,,,,,,,,,,,,,
Penfold 2023,Readmission,6 month,Odds ratio,1.79,1.02,3.15,,,,,,,,,,,,,,,,,,,,,,,
Sanguanwit 2023,Revisit: Emergency department,1 month,Odds ratio,1.55,0.59,4.11,,,,,,,,,,,,,,,,,,,,,,,
Traissac 2011,Readmission,1 month,Odds ratio,1.91,1.11,3.29,,,,,,,,,,,,,,,,,,,,,,,
Uthamalingam 2011,Readmission ,1 month,Odds ratio,4.24,2.77,6.47,,,,,,,,,,,,,,,,,,,,,,,
Uthamalingam 2011,Readmission,3 month,Odds ratio,3.72,2.51,5.54,,,,,,,,,,,,,,,,,,,,,,,
Durlach 2023,Readmission,3 month,Cohort 2x2 (Events),1.430041152,,,15,42,54,193,,,,,,,,,,,,,,,,,,,
Eide 2016,Readmission ,1 month,Cohort 2x2 (Events),4.153846154,,,24,76,6,60,,,,,,,,,,,,,,,,,,,
Eide 2016,Readmission,6 month,Cohort 2x2 (Events),1.761904762,,,37,76,21,60,,,,,,,,,,,,,,,,,,,
Falsini 2018,Readmission,6 month,Cohort 2x2 (Events),2.300653595,,,48,111,153,615,,,,,,,,,,,,,,,,,,,
Gleason 2015,Readmission (Complications and delirium vs Complications only),1 month,Cohort 2x2 (Events),1.885714286,,,6,20,5,27,,,,,,,,,,,,,,,,,,,
Gleason 2015,Readmission (Delirium only vs No complications or delirium),1 month,Cohort 2x2 (Events),2.574320051,,,22,115,34,404,,,,,,,,,,,,,,,,,,,
Gual 2018,Readmission,1 month,Cohort 2x2 (Events),0.845354196,,,51,352,93,557,,,,,,,,,,,,,,,,,,,
Hoogma 2023,Rehospitalization,6 month,Cohort 2x2 (Events),1.513227513,,,12,93,14,157,,,,,,,,,,,,,,,,,,,
Kennedy 2014,Rehospitalization,1 month,Cohort 2x2 (Events),2.393160127,,,17,63,82,613,,,,,,,,,,,,,,,,,,,
Koster 2012,Readmission,6 month,Cohort 2x2 (Events),2.327213115,,,21,46,61,230,,,,,,,,,,,,,,,,,,,
Li 2019,Readmission,1 month,Cohort 2x2 (Events),11.14285714,,,4,32,1,79,,,,,,,,,,,,,,,,,,,
Marcantonio 2005,Rehospitalization,1 month,Cohort 2x2 (Events),1.977099237,,,57,188,57,316,,,,,,,,,,,,,,,,,,,
Muzzana 2022,Readmission,1 month,Cohort 2x2 (Events),3.267857143,,,1,15,4,187,,,,,,,,,,,,,,,,,,,
Neufeld 2015,Readmission,18 month,Cohort 2x2 (Events),1.069053708,,,19,36,23,45,,,,,,,,,,,,,,,,,,,
Paulino 2023,Readmission ,3 month,Cohort 2x2 (Events),1.4,,,5,20,10,52,,,,,,,,,,,,,,,,,,,
Paulino 2023,Readmission ,6 month,Cohort 2x2 (Events),5.466666667,,,6,15,5,46,,,,,,,,,,,,,,,,,,,
Racine 2018,Readmission,1 month,Cohort 2x2 (Events),1.797101449,,,4,27,3,34,,,,,,,,,,,,,,,,,,,
Singler 2014,Contact: Emergency department,3 month,Cohort 2x2 (Events),1.04679803,,,5,19,29,114,,,,,,,,,,,,,,,,,,,
Suraarunsumrit 2022,Readmission,3 month,Cohort 2x2 (Events),1.119791667,,,6,42,32,247,,,,,,,,,,,,,,,,,,,
Vasunilashorn 2022,Rehospitalization(DEl-Long),12 month,Cohort 2x2 (Events),1.443073593,,,113,168,84,143,,,,,,,,,,,,,,,,,,,
Vasunilashorn 2022,Rehospitalization (DEL-short),12 month,Cohort 2x2 (Events),1.545189504,,,106,155,91,156,,,,,,,,,,,,,,,,,,,
Vasunilashorn 2022,Rehospitalization (DEl-Long),3 month,Cohort 2x2 (Events),1.531914894,,,72,168,47,143,,,,,,,,,,,,,,,,,,,
Vasunilashorn 2022,Rehospitalization (DEL-short),3 month,Cohort 2x2 (Events),1.522727273,,,67,155,52,156,,,,,,,,,,,,,,,,,,,
Whittamore 2014,Readmission,6 month,Cohort 2x2 (Events),1.021049754,,,45,107,59,142,,,,,,,,,,,,,,,,,,,
Zakriya 2004,Readmission: Emergency department ,1.5 month,Cohort 2x2 (Events),0.630769231,,,0,19,2,63,,,,,,,,,,,,,,,,,,,
Zakriya 2004,Readmission: Emergency department,3 month,Cohort 2x2 (Events),0.539170507,,,0,15,3,61,,,,,,,,,,,,,,,,,,,
Zakriya 2004,Readmission: Hospital admission ,1.5 month,Cohort 2x2 (Events),0.630769231,,,0,19,2,63,,,,,,,,,,,,,,,,,,,
Zakriya 2004,Readmission: Hospital admission ,3 month,Cohort 2x2 (Events),0.539170507,,,0,15,3,61,,,,,,,,,,,,,,,,,,,
Bellelli 2008,Institutionalisation,12 month,Odds ratio,2.3,1.3,3.9,,,,,,,,,,,,,,,,,,,,,,,
Cole 2008,Institutionalisation ,12 month,Odds ratio,1.37,0.67,2.83,,,,,,,,,,,,,,,,,,,,,,,
Cole 2008,Institutionalisation,6 month,Odds ratio,0.79,0.4,1.56,,,,,,,,,,,,,,,,,,,,,,,
deJong 2019,Institutionalisation (wth dementia) ,12 month,Odds ratio,2.09,0.36,12.32,,,,,,,,,,,,,,,,,,,,,,,
deJong 2019,Institutionalisation (wthout dementia),12 month,Odds ratio,7.06,2.13,23.41,,,,,,,,,,,,,,,,,,,,,,,
George 1997,Institutionalisation ,12 month,Odds ratio,4.53,,14.59,,,,,,,,,,,,,,,,,,,,,,,
George 1997,Institutionalisation,6 month,Odds ratio,4.3,1.8,,,,,,,,,,,,,,,,,,,,,,,,
Givens 2009,Institutionalisation,12 month,Odds ratio,2.49,1.06,5.83,,,,,,,,,,,,,,,,,,,,,,,
Hawley 2023,Institutionalisation,4 month,Odds ratio,2.1739,1.8181,2.6315,,,,,,,,,,,,,,,,,,,,,,,
Inouye 1998,Institutionalisation,3 month,Odds ratio,3,1.5,6,,,,,,,,,,,,,,,,,,,,,,,
Krogseth 2014,Institutionalisation,6 month,Odds ratio,5.5,1.77,17.11,,,,,,,,,,,,,,,,,,,,,,,
Labaste 2023,Institutionalisation,3 month,Odds ratio,5.23,1.1,27.04,,,,,,,,,,,,,,,,,,,,,,,
McCusker 2001,Institutionalisation,12 month,Odds ratio,1.15,0.33,4.05,,,,,,,,,,,,,,,,,,,,,,,
Morandi 2014,Institutionalisation,12 month,Odds ratio,2.41,1.02,5.66,,,,,,,,,,,,,,,,,,,,,,,
O'Keeffe 1997,Institutionalisation,6 month,Odds ratio,2.8,1.3,6.1,,,,,,,,,,,,,,,,,,,,,,,
Pitkala 2005,Institutionalisation,24 month,Odds ratio,2.45,1.2,4.9,,,,,,,,,,,,,,,,,,,,,,,
Rawle 2021,Institutionalisation,24 month,Odds ratio,4.79,2.87,7.99,,,,,,,,,,,,,,,,,,,,,,,
Durlach 2023,Institutionalisation ,3 month,Cohort 2x2 (Events),,,,18,42,53,193,,,,,,,,,,,,,,,,,,,
Eeles 2010,Institutionalisation ,12 month,Cohort 2x2 (Events),,,,15,37,24,136,,,,,,,,,,,,,,,,,,,
Eeles 2010,Institutionalisation ,24 month,Cohort 2x2 (Events),,,,7,21,17,112,,,,,,,,,,,,,,,,,,,
Eeles 2010,Institutionalisation ,36 month,Cohort 2x2 (Events),,,,4,14,13,95,,,,,,,,,,,,,,,,,,,
Eeles 2010,Institutionalisation ,48 month,Cohort 2x2 (Events),,,,2,11,11,87,,,,,,,,,,,,,,,,,,,
Eeles 2010,Institutionalisation ,60 month,Cohort 2x2 (Events),,,,1,8,7,61,,,,,,,,,,,,,,,,,,,
Francis 1990,Institutionalisation,6 month,Cohort 2x2 (Events),,,,6,49,8,167,,,,,,,,,,,,,,,,,,,
Hölttä 2011,Institutionalisation,24 month,Cohort 2x2 (Events),,,,51,66,130,189,,,,,,,,,,,,,,,,,,,
Kat 2008,Institutionalisation,30 month,Cohort 2x2 (Events),,,,19,38,8,28,,,,,,,,,,,,,,,,,,,
Maclullich 2019,Institutionalisation,3 month,Cohort 2x2 (Events),,,,1,34,2,206,,,,,,,,,,,,,,,,,,,
Mariz 2013,Institutionalisation,1 month,Cohort 2x2 (Events),,,,13,28,31,50,,,,,,,,,,,,,,,,,,,
McAvay 2006,Institutionalisation,12 month,Cohort 2x2 (Events),,,,14,31,111,378,,,,,,,,,,,,,,,,,,,
Neufeld 2015,Institutionalisation,18 month,Cohort 2x2 (Events),,,,3,36,2,45,,,,,,,,,,,,,,,,,,,
Paulino 2023,Institutionalisation ,3 month,Cohort 2x2 (Events),,,,5,20,5,52,,,,,,,,,,,,,,,,,,,
Paulino 2023,Institutionalisation,6 month,Cohort 2x2 (Events),,,,1,15,2,46,,,,,,,,,,,,,,,,,,,
Racine 2018,Institutionalisation,1 month,Cohort 2x2 (Events),,,,3,27,3,34,,,,,,,,,,,,,,,,,,,
Sheng 2006,Institutionalisation,12 month,Cohort 2x2 (Events),,,,13,39,19,117,,,,,,,,,,,,,,,,,,,
Visser 2015,Institutionalisation,12 month,Cohort 2x2 (Events),,,,10,22,27,441,,,,,,,,,,,,,,,,,,,
Zakriya 2004,Institutionalisation ,3 month,Cohort 2x2 (Events),,,,4,15,5,61,,,,,,,,,,,,,,,,,,,
Zakriya 2004,Institutionalisation,1.5 month,Cohort 2x2 (Events),,,,6,19,2,63,,,,,,,,,,,,,,,,,,,
Miu 2013,Institutionalisation,12 month,Cohort 2x2 (Events),,,,56,86,29,228,,,,,,,,,,,,,,,,,,,
Miu 2013,Institutionalisation ,6 month,Cohort 2x2 (Events),,,,52,86,28,228,,,,,,,,,,,,,,,,,,,
Abelha 2013,Mortality,6 month,Odds ratio,2.562,1.36,4.828,,,,,,,,,,,,,,,,,,,,,,,
Alzoubi 2023,Mortality,4 month,Odds ratio,7.11,1.97,25.68,,,,,,,,,,,,,,,,,,,,,,,
Arneson 2023,Mortality ,0.23 month,Odds ratio,5.23,1.44,19.05,,,,,,,,,,,,,,,,,,,,,,,
Arneson 2023,Mortality ,1 month,Odds ratio,2.82,1.45,5.46,,,,,,,,,,,,,,,,,,,,,,,
Bickel 2008,Mortality,38 month,Odds ratio,1.7,0.6,5,,,,,,,,,,,,,,,,,,,,,,,
Bickel 2008,Mortality,8 month,Odds ratio,1.3,0.2,8.5,,,,,,,,,,,,,,,,,,,,,,,
deJong 2019,Mortality ,1 month,Odds ratio,1.68,0.8,3.53,,,,,,,,,,,,,,,,,,,,,,,
deJong 2019,Mortality,12 month,Odds ratio,1.93,1.13,3.28,,,,,,,,,,,,,,,,,,,,,,,
Edelstein 2004,Mortality,12 month,Odds ratio,2.4,1.1,4.9,,,,,,,,,,,,,,,,,,,,,,,
Falsini 2018,Mortality ,1 month,Odds ratio,5.57,2.51,12.4,,,,,,,,,,,,,,,,,,,,,,,
Falsini 2018,Mortality ,6 month,Odds ratio,2.39,1.16,4.9,,,,,,,,,,,,,,,,,,,,,,,
Fick 2013,Mortality,1 month,Odds ratio,2.33,0.82,6.61,,,,,,,,,,,,,,,,,,,,,,,
George 1997,Mortality,12 month,Odds ratio,2.3,1.25,4.35,,,,,,,,,,,,,,,,,,,,,,,
George 1997,Mortality ,6 month,Odds ratio,3.11,1.52,6.77,,,,,,,,,,,,,,,,,,,,,,,
Givens 2009,Mortality,12 month,Odds ratio,1.32,0.56,3.08,,,,,,,,,,,,,,,,,,,,,,,
Han 2022,Mortality,1 month,Odds ratio,2.68,1.05,6.5,,,,,,,,,,,,,,,,,,,,,,,
Inouye 1998,Mortality,3 month,Odds ratio,1.6,0.8,3.2,,,,,,,,,,,,,,,,,,,,,,,
Kakuma 2003,mortality ,12 month,Odds ratio,2.5,0.76,8.18,,,,,,,,,,,,,,,,,,,,,,,
Kakuma 2003,Mortality,18 month,Odds ratio,1.34,0.45,4.01,,,,,,,,,,,,,,,,,,,,,,,
Kakuma 2003,Mortality ,6 month,Odds ratio,6.17,1.43,26.56,,,,,,,,,,,,,,,,,,,,,,,
Kilicaslan 2022,Mortality,6 month,Odds ratio,1.82,1.02,3.23,,,,,,,,,,,,,,,,,,,,,,,
Knauf 2019,Mortality,60 month,Odds ratio,0.462,0.26,0.818,,,,,,,,,,,,,,,,,,,,,,,
Krzych 2014,Mortality ,1 month,Odds ratio,3.735,1.428,9.772,,,,,,,,,,,,,,,,,,,,,,,
Maclullich 2019,Mortality,3 month,Odds ratio,2,0.85,4.7,,,,,,,,,,,,,,,,,,,,,,,
Mazzola 2015,Mortality,6 month,Odds ratio,3.8,1.72,8.39,,,,,,,,,,,,,,,,,,,,,,,
Monacelli 2018,Mortality,3 month,Odds ratio,7.88,0.97,63.71,,,,,,,,,,,,,,,,,,,,,,,
Morandi 2014,Mortality,12 month,Odds ratio,1.54,0.77,3.07,,,,,,,,,,,,,,,,,,,,,,,
Moskowitz 2017,Mortality,60 month,Odds ratio,7.35,1.49,36.18,,,,,,,,,,,,,,,,,,,,,,,
Noriega 2015,Mortality ,12 month,Odds ratio,4.2,1.81,9.74,,,,,,,,,,,,,,,,,,,,,,,
Ojagbemi 2021,Mortality ,12 month,Odds ratio,3.4,1.5,7.6,,,,,,,,,,,,,,,,,,,,,,,
Ojagbemi 2021,Mortality,3 month,Odds ratio,3.1,1.2,7.6,,,,,,,,,,,,,,,,,,,,,,,
O'Keeffe 1997,Mortality,6 month,Odds ratio,1.4,0.7,2.8,,,,,,,,,,,,,,,,,,,,,,,
Pasinska 2019,Mortality ,12 month,Odds ratio,1.72,1.01,2.92,,,,,,,,,,,,,,,,,,,,,,,
Pasinska 2019,Mortality ,3 month,Odds ratio,2.83,1.54,5.21,,,,,,,,,,,,,,,,,,,,,,,
Penfold 2023,Mortality,6 month,Odds ratio,1.69,1.13,2.54,,,,,,,,,,,,,,,,,,,,,,,
Pitkala 2005,Mortality ,12 month,Odds ratio,1.86,1.1,3.1,,,,,,,,,,,,,,,,,,,,,,,
Pitkala 2005,Mortality ,24 month,Odds ratio,1.76,1.1,2.8,,,,,,,,,,,,,,,,,,,,,,,
Praditsuwan 2013,Mortality,3 month,Odds ratio,3.33,1.45,7.62,,,,,,,,,,,,,,,,,,,,,,,
Radcliffe 2023,Mortality either COVID-19 or suspected COVID-19,1 month,Odds ratio,5.5,2.6,11.7,,,,,,,,,,,,,,,,,,,,,,,
Radcliffe 2023,Mortality patients with COVID-19,1 month,Odds ratio,7.1,2.2,22.7,,,,,,,,,,,,,,,,,,,,,,,
Rego 2022,Mortality,12 month,Odds ratio,1.96,0.25,15.39,,,,,,,,,,,,,,,,,,,,,,,
Rizzi 2015,Mortality,1 month,Odds ratio,3.532,1.422,8.769,,,,,,,,,,,,,,,,,,,,,,,
Rollo 2022,Mortality,3 month,Odds ratio,3.45,0.66,17.95,,,,,,,,,,,,,,,,,,,,,,,
Sanguanwit 2023,Mortality,1 month,Odds ratio,2.15,0.37,12.25,,,,,,,,,,,,,,,,,,,,,,,
VanRompaey 2009,Mortality ,3 month,Odds ratio,4.31,1.26,14.68,,,,,,,,,,,,,,,,,,,,,,,
VanRompaey 2009,Mortality ,6 month,Odds ratio,3.8,1.11,13.05,,,,,,,,,,,,,,,,,,,,,,,
Veiga 2012,Mortality,6 month,Odds ratio,3,1.8,5,,,,,,,,,,,,,,,,,,,,,,,
Wang 2021,Mortality,24 month,Odds ratio,0.946,0.226,3.97,,,,,,,,,,,,,,,,,,,,,,,
Ziman 2020,Mortality,60 month,Odds ratio,1.18,0.85,1.65,,,,,,,,,,,,,,,,,,,,,,,
Adamis 2007,Mortality,6 month,Cohort 2x2 (Events),,,,6,47,15,117,,,,,,,,,,,,,,,,,,,
Alberto 2018,Mortality,12 month,Cohort 2x2 (Events),,,,24,35,76,204,,,,,,,,,,,,,,,,,,,
AlHuraizi 2023,Mortality,12 month,Cohort 2x2 (Events),,,,55,153,21,131,,,,,,,,,,,,,,,,,,,
AlHuraizi 2023,Mortality ,3 month,Cohort 2x2 (Events),,,,39,153,11,131,,,,,,,,,,,,,,,,,,,
Arneson 2023,Mortality ,0.16 month,Cohort 2x2 (Events),,,,8,107,12,860,,,,,,,,,,,,,,,,,,,
Arneson 2023,Mortality ,0.33 month,Cohort 2x2 (Events),,,,10,107,20,860,,,,,,,,,,,,,,,,,,,
Arneson 2023,Mortality ,0.5 month,Cohort 2x2 (Events),,,,15,107,30,860,,,,,,,,,,,,,,,,,,,
Arneson 2023,Mortality ,0.66 month,Cohort 2x2 (Events),,,,18,107,37,860,,,,,,,,,,,,,,,,,,,
Arneson 2023,Mortality ,0.83 month,Cohort 2x2 (Events),,,,19,107,48,860,,,,,,,,,,,,,,,,,,,
Avelino-Silva 2017,Mortality (Delirium vs no delirium no dementia),12 month,Cohort 2x2 (Events),,,,53,207,85,527,,,,,,,,,,,,,,,,,,,
Avelino-Silva 2017,"Mortality (DSD vs No delirium, dementia)",12 month,Cohort 2x2 (Events),,,,92,250,42,160,,,,,,,,,,,,,,,,,,,
Avelino-Silva 2018,Mortality,12 month,Cohort 2x2 (Events),,,,145,457,127,687,,,,,,,,,,,,,,,,,,,
Bagienski 2017,Mortality ,1 month,Cohort 2x2 (Events),,,,5,29,0,112,,,,,,,,,,,,,,,,,,,
Bagienski 2017,Mortality,12 month,Cohort 2x2 (Events),,,,11,29,4,112,,,,,,,,,,,,,,,,,,,
Bagienski 2017,Mortality  ,15.8 month,Cohort 2x2 (Events),,,,14,29,12,112,,,,,,,,,,,,,,,,,,,
Bakker 2012,Mortality,1 month,Cohort 2x2 (Events),,,,9,63,0,138,,,,,,,,,,,,,,,,,,,
Beishuizen 2020,Mortality,7 month,Cohort 2x2 (Events),,,,4,14,6,77,,,,,,,,,,,,,,,,,,,
Bellelli 2007,Mortality,12 month,Cohort 2x2 (Events),,,,17,94,9,94,,,,,,,,,,,,,,,,,,,
Bellelli 2008,Mortality,12 month,Cohort 2x2 (Events),,,,37,139,99,933,,,,,,,,,,,,,,,,,,,
Bellelli 2018,Mortality,6 month,Cohort 2x2 (Events),,,,53,220,29,351,,,,,,,,,,,,,,,,,,,
Bulic 2020,Mortality,12 month,Cohort 2x2 (Events),,,,5,37,12,66,,,,,,,,,,,,,,,,,,,
Cartei 2022,Mortality,12 month,Cohort 2x2 (Events),,,,52,193,21,194,,,,,,,,,,,,,,,,,,,
Chalmers 2021,Mortality,44 month,Cohort 2x2 (Events),,,,371,831,499,1640,,,,,,,,,,,,,,,,,,,
Chan 2016,Mortality ,12 month,Cohort 2x2 (Events),,,,32,49,21,104,,,,,,,,,,,,,,,,,,,
Chan 2016,Mortality,1 month,Cohort 2x2 (Events),,,,11,49,5,104,,,,,,,,,,,,,,,,,,,
Chan 2017,Mortality ,12 month,Cohort 2x2 (Events),,,,16,39,18,117,,,,,,,,,,,,,,,,,,,
Chan 2017,Mortality,1 month,Cohort 2x2 (Events),,,,4,39,5,117,,,,,,,,,,,,,,,,,,,
Chan 2017,Mortality ,6 month,Cohort 2x2 (Events),,,,11,39,14,117,,,,,,,,,,,,,,,,,,,
Cheong 2021,Mortality,1 month,Cohort 2x2 (Events),,,,5,50,12,396,,,,,,,,,,,,,,,,,,,
Cole 2008,Mortality ,12 month,Cohort 2x2 (Events),,,,31,115,7,95,,,,,,,,,,,,,,,,,,,
Cole 2008,Mortality ,6 month,Cohort 2x2 (Events),,,,16,115,4,95,,,,,,,,,,,,,,,,,,,
Curyto 2001,Mortality,36 month,Cohort 2x2 (Events),,,,9,12,21,41,,,,,,,,,,,,,,,,,,,
Czyzycki 2022,Mortality total ,12 month,Cohort 2x2 (Events),,,,92,158,87,490,,,,,,,,,,,,,,,,,,,
Czyzycki 2022,Mortality total ,3 month,Cohort 2x2 (Events),,,,73,163,54,488,,,,,,,,,,,,,,,,,,,
Dani 2017,Mortality,36 month,Cohort 2x2 (Events),,,,59,72,311,636,,,,,,,,,,,,,,,,,,,
Davis 2014,Mortality,24 month,Cohort 2x2 (Events),,,,72,122,706,2075,,,,,,,,,,,,,,,,,,,
DeCrane 2011,Mortality,1 month,Cohort 2x2 (Events),,,,24,70,45,250,,,,,,,,,,,,,,,,,,,
deHaan 2023,Mortality ,12 month,Cohort 2x2 (Events),,,,109,326,286,1725,,,,,,,,,,,,,,,,,,,
deHaan 2023,Mortality,1 month,Cohort 2x2 (Events),,,,53,326,99,1725,,,,,,,,,,,,,,,,,,,
Diwell 2018,Mortality ,36 month,Cohort 2x2 (Events),,,,35,56,156,301,,,,,,,,,,,,,,,,,,,
Diwell 2018,Mortality,6 month,Cohort 2x2 (Events),,,,21,56,145,301,,,,,,,,,,,,,,,,,,,
